NO,중복,구분1,구분2,구분3,구분4,파일명,경로,화면표시
169,,도로,홍천군,RDSN_PS,도로표지판,RDSN_PS(도로표지판)-TEXT_속성뿌리기(도로-홍천군),도로/01 군단위-도로/RDSN_PS(도로표지판)-TEXT_속성뿌리기(도로-홍천군).LSP,"""도로표지판(RDL_RDSN_PS)_종류:"" AEC_CDE ""/지주형식:"" IPG_CDE ""/규격:"" DPG_STD ""/H:"" STD_HIT ;""/_"" DRT_CDE"
170,34,도로,군단위,SCHO_AS,어린이보호구역,SCHO_AS(어린이보호구역)-LINE_속성뿌리기(도로-군),도로/01 군단위-도로/SCHO_AS(어린이보호구역)-LINE_속성뿌리기(도로-군).LSP,"""RDL_SCHO_AS(어린이보호구역)->명:"" SCH_NAM ""/소재지:"" BAS_LOC ""/지정일자:"" SCH_YMD ""/원장명:"" PRI_NAM"
171,35,도로,군단위,SCLT_PS,보안등,SCLT_PS(보안등)-TEXT-속성뿌리기(도로-군지역),도로/01 군단위-도로/SCLT_PS(보안등)-TEXT-속성뿌리기(도로-군지역).LSP,"""RDL_SCLT_PS(보안등)->모형:"" LSH_CDE ""/광원종류:"" LCD_CDE"
172,,도로,군단위,SCLT_PS,보안등,SCLT_PS(보안등)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/SCLT_PS(보안등)-TEXT_속성뿌리기(도로).LSP,"""보안등->모형:"" LSH_CDE ""/광원종류:"" LCD_CDE ""/광원용량:"" LCP_EXP"
173,35,도로,군단위,SCLT_PS,보안등,SCLT_PS(보안등)-TEXT_속성뿌리기(도로-군),도로/01 군단위-도로/SCLT_PS(보안등)-TEXT_속성뿌리기(도로-군).LSP,"""RDL_SCLT_PS(보안등)->모형:"" LSH_CDE ""/광원종류:"" LCD_CDE"
174,,도로,홍성군,SCLT_PS,보안등,SCLT_PS(보안등)-TEXT_속성뿌리기(도로-홍성군),도로/01 군단위-도로/SCLT_PS(보안등)-TEXT_속성뿌리기(도로-홍성군).LSP,"""보안등(AI010)->모형:"" LSH_CDE ""/광원종류:"" LCD_CDE ""/광원용량:"" LCP_EXP"
175,36,도로,군단위,SEPC_PS,가로등제어기,SEPC_PS(가로등제어기)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/SEPC_PS(가로등제어기)-TEXT_속성뿌리기(도로).LSP,"""가로등제어기->부착방식:"" SEP_CDE ""/제어함구분:"" DEF_CDE"
176,37,도로,군단위,SEPC_PS,가로등제어기,SEPC_PS(가로등제어기)-TEXT_속성뿌리기(도로-군),도로/01 군단위-도로/SEPC_PS(가로등제어기)-TEXT_속성뿌리기(도로-군).LSP,"""RDL_SEPC_PS(가로등제어기)->부착방식:"" SEP_CDE ""/제어함구분:"" DEF_CDE"
177,36,도로,홍성군,SEPC_PS,가로등제어기,SEPC_PS(가로등제어기)-TEXT_속성뿌리기(도로-홍성군),도로/01 군단위-도로/SEPC_PS(가로등제어기)-TEXT_속성뿌리기(도로-홍성군).LSP,"""가로등제어기->부착방식:"" SEP_CDE ""/제어함구분:"" DEF_CDE"
178,,도로,군단위,SMRW_LS,석축옹벽,SMRW_LS(석축옹벽)-LINE_속성뿌리기(도로-군),도로/01 군단위-도로/SMRW_LS(석축옹벽)-LINE_속성뿌리기(도로-군).LSP,"""RDL_SMRW_LS(석축_옹벽)->"" ""L"" BYC_LEN ""/FTR_CDE:"" FTR_CDE ""/재질:"" SMT_CDE ""/최대H:"" MAX_HIT ""/최소H:"" MIN_HIT ""/폭W:"" BYC_WID"
179,,도로,홍천군,SMRW_LS,석축옹벽,SMRW_LS(석축옹벽)-LINE_속성뿌리기(도로-홍천군),도로/01 군단위-도로/SMRW_LS(석축옹벽)-LINE_속성뿌리기(도로-홍천군).LSP,"""구조-"" FTR_CDE ""/재질:"" SMT_CDE ""/폭W:"" BYC_WID ""/최대H:"" MAX_HIT ""/최소H:"" MIN_HIT ""/L"" BYC_LEN"
180,,도로,군단위,STAT_PS,정류장,STAT_PS(정류장)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/STAT_PS(정류장)-TEXT_속성뿌리기(도로).LSP,"""정류장->종류:"" AEE_CDE ""/명칭:"" STT_NAM ""/유형:"" STT_CDE"
181,,도로,홍천군,STAT_PS,정류장,STAT_PS(정류장)-TEXT_속성뿌리기(도로-홍천군),도로/01 군단위-도로/STAT_PS(정류장)-TEXT_속성뿌리기(도로-홍천군).LSP,"""-정류장(RDL_STAT_PS)->종류:"" AEE_CDE ""/명칭:"" STT_NAM ""/유형:"" STT_CDE"
182,,도로,군단위,STLT_PS,가로등,STLT_PS(가로등)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/STLT_PS(가로등)-TEXT_속성뿌리기(도로).LSP,"""가로등->모형:"" LSH_CDE ""/재질:"" plm_cde ""/형식:"" plt_CDE ""/H:"" PLS_HIT ""/광원종류:"" LCD_CDE ""/등기구수량:"" edg_cnt ""/가로등제어기관리번호:"" MNG_IDN ""/암길이:"" ARM_LEN"
183,,도로,군단위,STLT_PS,가로등,STLT_PS(가로등)-TEXT_속성뿌리기(도로-군),도로/01 군단위-도로/STLT_PS(가로등)-TEXT_속성뿌리기(도로-군).LSP,"""RDL_STLT_PS(가로등)->모형:"" LSH_CDE ""/형식:"" PLT_CDE ""/재질:"" PLM_CDE ""/등기구수량:"" edg_cnt ""/광원종류:"" LCD_CDE ""/H:"" PLS_HIT ""/암길이:"" ARM_LEN ;; ""/가로등제어기관리번호:"" MNG_IDN"
184,,도로,홍성군,STLT_PS,가로등,STLT_PS(가로등)-TEXT_속성뿌리기(도로-홍성군),도로/01 군단위-도로/STLT_PS(가로등)-TEXT_속성뿌리기(도로-홍성군).LSP,"""가로등(RDL_STLT_PS)->"" LSH_CDE ""/"" plt_CDE ""/"" PLM_CDE ""/등수:"" edg_cnt"
185,38,도로,군단위,TFSN_PS,교통표지판,TFSN_PS(교통표지판)-TEXT-속성뿌리기(도로-군),도로/01 군단위-도로/TFSN_PS(교통표지판)-TEXT-속성뿌리기(도로-군).LSP,""" RDL_TFSN_PS(교통표지판)->"" ""위치_"" DRT_CDE ""/종류:"" AET_CDE ""/지주:"" IPG_CDE ""/H:"" STD_HIT ""/규격:"" DPG_STD ""/기재사항:"" IPG_DES"
186,38,도로,군단위,TFSN_PS,교통표지판,TFSN_PS(교통표지판)-TEXT-속성뿌리기(도로-군지역),도로/01 군단위-도로/TFSN_PS(교통표지판)-TEXT-속성뿌리기(도로-군지역).LSP,""" RDL_TFSN_PS(교통표지판)->"" ""위치_"" DRT_CDE ""/종류:"" AET_CDE ""/지주:"" IPG_CDE ""/H:"" STD_HIT ""/규격:"" DPG_STD ""/기재사항:"" IPG_DES"
187,,도로,군단위,TFSN_PS,교통표지판,TFSN_PS(교통표지판)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/TFSN_PS(교통표지판)-TEXT_속성뿌리기(도로).LSP,"""교통표지판->종류:"" AET_CDE ""/지주:"" IPG_CDE ""/기재사항:"" IPG_DES ""/위치_"" DRT_CDE ""/H:"" STD_HIT ""/규격:"" DPG_STD"
188,,도로,홍성군,TFSN_PS,교통표지판,TFSN_PS(교통표지판)-TEXT_속성뿌리기(도로-홍성군),도로/01 군단위-도로/TFSN_PS(교통표지판)-TEXT_속성뿌리기(도로-홍성군).LSP,"""교통표지판(RDL_TFSN_PS)->종류:"" AET_CDE ""/지주:"" IPG_CDE ""/기재사항:"" IPG_DES  ""\n"" ""위치_"" DRT_CDE ""/H:"" STD_HIT ""/규격:"" DPG_STD"
189,39,도로,군단위,TRCT_PS,무인단속카메라,TRCT_PS(무인단속카메라)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/TRCT_PS(무인단속카메라)-TEXT_속성뿌리기(도로).LSP,"""무인단속카메라->"" FTR_CDE"
190,,도로,군단위,TREE_PS,가로수,TREE_PS(가로수)-TEXT_속성뿌리기(도로),도로/01 군단위-도로/TREE_PS(가로수)-TEXT_속성뿌리기(도로).LSP,"""가로수->"" TRE_CDE ""/"" TRE_DIP ""/판:"" PTC_CDE"
191,40,도로,군단위,TREE_PS,가로수,TREE_PS(가로수)-TEXT_속성뿌리기(도로-군),도로/01 군단위-도로/TREE_PS(가로수)-TEXT_속성뿌리기(도로-군).LSP,"""RDL_TREE_PS(가로수)->"" TRE_CDE ""/"" TRE_DIP ""/판:"" PTC_CDE"
192,41,도로,군단위,TREE_PS,가로수,TREE_PS(가로수)-TEXT_속성뿌리기(도로-군)-THE코드오류,도로/01 군단위-도로/TREE_PS(가로수)-TEXT_속성뿌리기(도로-군)-THE코드오류.LSP,"""RDL_TREE_PS(가로수)->"" THE_CDE ""/"" TRE_DIP ""/판:"" PIC_CDE"
193,41,도로,군단위,TREE_PS,가로수,TREE_PS(가로수)-TEXT_속성뿌리기(도로-군)-THE코드오류-PIC오류,도로/01 군단위-도로/TREE_PS(가로수)-TEXT_속성뿌리기(도로-군)-THE코드오류-PIC오류.LSP,"""RDL_TREE_PS(가로수)->"" THE_CDE ""/"" TRE_DIP ""/판:"" PIC_CDE"
194,,도로,홍성군,TREE_PS,가로수,TREE_PS(가로수)-TEXT_속성뿌리기(도로-홍성군),도로/01 군단위-도로/TREE_PS(가로수)-TEXT_속성뿌리기(도로-홍성군).LSP,"""가로수(AE160)->"" TRE_CDE ""/"" TRE_DIP ""/판:"" PTC_CDE"
